Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2015-06-02 20:00:20,Running,,8.76,40:39,4:38,12.93,668.0,103,,,2015-06-02-2000.gpx
2015-05-24 15:24:42,Running,,10.07,45:35,4:31,13.26,772.0,113,,,2015-05-24-1524.gpx
2015-05-20 19:55:15,Running,,8.98,42:59,4:47,12.53,717.0,140,,,2015-05-20-1955.gpx
2015-05-02 15:23:17,Running,,10.93,56:22,5:10,11.63,882.0,186,,,2015-05-02-1523.gpx
2015-04-30 15:33:57,Running,,10.08,50:22,5:00,12.01,786.0,137,,,2015-04-30-1533.gpx
2015-04-27 18:12:46,Running,,10.29,50:22,4:54,12.26,810.0,163,,"Vent de face 25 premières minutes ",2015-04-27-1812.gpx
2015-04-25 19:07:02,Running,,12.52,1:00:20,4:49,12.45,1024.0,273,,,2015-04-25-1907.gpx
2015-04-23 19:41:08,Running,,9.28,45:16,4:53,12.30,681.0,82,,,2015-04-23-1941.gpx
2015-04-21 17:02:45,Running,,10.52,52:20,4:59,12.06,784.0,102,,,2015-04-21-1702.gpx
2015-04-20 18:25:54,Rowing,,5.52,25:00,4:32,13.25,302.645833333333,0,,,
2015-04-17 16:41:23,Running,,11.34,55:06,4:52,12.35,896.0,163,,"Vent de face entre 25 et 42, gênant. ",2015-04-17-1641.gpx
2015-04-13 18:34:29,Running,,12.06,1:00:13,5:00,12.01,981.0,259,,,2015-04-13-1834.gpx
2015-04-09 17:26:59,Running,,9.03,45:58,5:05,11.79,701.0,125,,,2015-04-09-1726.gpx
2015-04-07 18:28:48,Running,,11.07,55:13,4:59,12.02,869.0,170,,,2015-04-07-1828.gpx
2015-03-26 18:00:51,Rowing,,7.05,30:00,4:15,14.10,384.770833333333,0,,,
2015-03-22 17:06:38,Running,,15.08,1:16:40,5:05,11.80,1237.0,324,,"Best of #ParisMonuments  #Sunday #Running",2015-03-22-1706.gpx
2015-03-21 18:23:18,Rowing,,7.13,30:00,4:12,14.26,388.826388888889,0,,,
2015-03-19 18:24:15,Running,,8.77,42:42,4:52,12.32,693.0,140,,,2015-03-19-1824.gpx
2015-03-17 15:02:12,Running,,6.59,32:45,4:58,12.08,514.0,68,,,2015-03-17-1502.gpx
2015-03-10 19:00:56,Rowing,,9.00,38:18,4:15,14.10,491.19875,0,,,
2015-03-08 13:35:40,Running,,13.65,1:11:17,5:13,11.49,1107.0,279,,,2015-03-08-1335.gpx
2015-03-03 19:18:32,Running,,3.38,20:00,5:55,10.14,267.046085011186,0,,,
2015-03-03 18:50:21,Rowing,,7.07,30:00,4:15,14.14,385.784722222222,0,,,
2015-03-02 19:34:08,Running,,12.56,1:01:24,4:53,12.27,1023.0,260,,,2015-03-02-1934.gpx
2015-02-21 18:47:49,Rowing,,5.74,25:00,4:21,13.78,313.798611111111,0,,,
2015-02-18 20:04:40,Running,,9.93,45:37,4:36,13.06,750.0,125,,,2015-02-18-2004.gpx
2015-02-15 18:11:55,Running,,9.70,49:33,5:07,11.74,769.0,161,,,2015-02-15-1811.gpx
2015-02-11 19:32:59,Running,,12.64,1:02:05,4:55,12.21,1038.0,267,,,2015-02-11-1932.gpx
2015-02-07 12:34:02,Running,,9.37,1:01:08,6:31,9.20,733.697817321501,62,,,2015-02-07-1234.gpx
2015-01-30 17:43:05,Running,,11.97,1:00:29,5:03,11.87,930.528358335646,136,,,2015-01-30-1743.gpx
2015-01-28 12:00:27,Rowing,,9.00,39:18,4:22,13.74,492.11125,0,,,
2015-01-25 11:58:26,Running,,9.90,50:10,5:04,11.84,767.21883830438,115,,,2015-01-25-1158.gpx
2015-01-22 19:24:54,Rowing,,7.50,32:23,4:19,13.90,409.758125,0,,,
2015-01-19 18:34:46,Running,,12.14,1:00:02,4:57,12.13,952.732711452252,271,,,2015-01-19-1834.gpx
2015-01-15 19:39:21,Rowing,,7.01,30:00,4:17,14.02,382.743055555555,0,,,
2015-01-13 18:25:54,Running,,14.28,1:15:19,5:17,11.37,1112.9883871459,227,,,2015-01-13-1825.gpx
2015-01-08 12:30:21,Running,,9.02,42:48,4:45,12.64,722.630041666667,0,,,
2015-01-05 18:37:25,Rowing,,7.01,30:00,4:17,14.02,382.743055555555,0,,,
2014-12-28 11:38:10,Running,,7.17,40:29,5:39,10.62,574.064297926018,188,,,2014-12-28-1138.gpx
2014-12-24 18:22:11,Running,,3.22,15:00,4:40,12.88,265.84987745098,0,,,
2014-12-24 18:21:21,Rowing,,4.00,15:30,3:53,15.48,222.864583333333,0,,,
2014-12-24 18:20:36,Running,,3.30,15:00,4:33,13.20,269.28125,0,,,
2014-12-22 18:20:29,Rowing,,10.00,38:52,3:53,15.44,557.270833333333,0,,,
2014-11-12 18:39:16,Rowing,,8.00,35:58,4:30,13.35,450.385416666667,0,,,
2014-11-05 18:18:28,Rowing,,8.00,36:43,4:35,13.07,451.088541666667,0,,,
2014-10-13 18:17:43,Running,,12.84,1:02:39,4:53,12.29,1011.96374706799,1828,,,2014-10-13-1817.gpx
2014-10-05 10:01:40,Running,,21.73,1:40:39,4:38,12.96,1671.0,184,,,2014-10-05-1001.gpx
2014-10-02 12:02:22,Running,,6.52,35:16,5:25,11.09,533.0,137,,,2014-10-02-1202.gpx
2014-09-30 08:05:34,Running,,7.06,35:09,4:59,12.05,571.0,72,,,2014-09-30-0805.gpx
2014-09-27 11:32:09,Running,,15.11,1:14:24,4:55,12.19,1257.0,300,,,2014-09-27-1132.gpx
2014-09-22 19:40:58,Running,,8.53,41:46,4:54,12.26,630.0,78,,,2014-09-22-1940.gpx
2014-09-21 12:40:01,Running,,11.46,55:20,4:50,12.42,883.0,132,,,2014-09-21-1240.gpx
2014-09-19 18:32:10,Running,,15.62,1:21:00,5:11,11.57,1298.0,321,,,2014-09-19-1832.gpx
2014-09-15 19:13:09,Running,,13.20,1:00:17,4:34,13.14,979.0,142,,,2014-09-15-1913.gpx
2014-09-12 18:04:19,Running,,12.79,1:00:12,4:42,12.75,976.0,142,,,2014-09-12-1804.gpx
2014-09-08 18:00:49,Running,,21.52,1:37:11,4:31,13.28,1536.0,350,,"3 kms de trop, runkeeper a merdé. ",2014-09-08-1800.gpx
2014-09-02 18:15:58,Running,,12.84,1:00:14,4:41,12.79,1005.0,143,,"Moyenne sympa sur 1h",2014-09-02-1815.gpx
2014-08-31 16:05:58,Running,,16.32,1:21:39,5:00,11.99,1311.0,244,,,2014-08-31-1605.gpx
2014-08-30 16:23:44,Running,,4.15,23:06,5:34,10.77,330.0,40,,,2014-08-30-1623.gpx
2014-08-28 10:19:34,Running,,10.78,55:17,5:08,11.70,842.0,125,,,2014-08-28-1019.gpx
2014-08-26 18:27:34,Running,,9.74,50:12,5:09,11.64,776.0,95,,,2014-08-26-1827.gpx
2014-08-23 12:03:03,Running,,9.22,48:55,5:19,11.30,769.0,169,,,2014-08-23-1203.gpx
2014-08-21 18:43:46,Running,,16.41,1:22:06,5:00,11.99,1256.0,212,,,2014-08-21-1843.gpx
2014-08-14 18:29:21,Running,,9.35,47:13,5:03,11.87,745.0,46,,,2014-08-14-1829.gpx
2014-08-12 18:32:26,Running,,13.90,1:10:03,5:03,11.90,1106.0,65,,,2014-08-12-1832.gpx
2014-08-07 19:26:11,Running,,10.67,55:13,5:11,11.59,851.0,55,,,2014-08-07-1926.gpx
2014-08-05 18:58:13,Running,,9.60,48:32,5:03,11.87,766.0,54,,,2014-08-05-1858.gpx
2014-08-03 18:18:11,Running,,12.00,1:00:17,5:01,11.94,972.0,167,,,2014-08-03-1818.gpx
2014-07-31 17:59:34,Running,,9.78,50:15,5:08,11.67,1211.0,1387,,,2014-07-31-1759.gpx
2014-07-29 19:05:15,Running,,9.04,44:08,4:53,12.29,1182.0,1397,,,2014-07-29-1905.gpx
2014-07-25 18:47:24,Running,,12.07,1:02:17,5:10,11.63,993.0,185,,,2014-07-25-1847.gpx
2014-07-23 18:43:14,Rowing,,6.60,30:00,4:33,13.20,376.833333333333,0,,,
2014-07-21 18:34:23,Running,,8.10,45:05,5:34,10.77,654.0,94,,,2014-07-21-1834.gpx
2014-07-16 19:01:18,Running,,9.92,51:10,5:10,11.63,814.0,151,,,2014-07-16-1901.gpx
2014-07-11 10:59:22,Running,,10.32,52:51,5:07,11.71,845.0,183,,,2014-07-11-1059.gpx
2014-07-07 20:11:00,Running,,10.04,50:14,5:00,11.99,814.0,158,,,2014-07-07-2011.gpx
2014-07-03 12:15:12,Running,,7.90,37:00,4:41,12.81,660.503333333333,0,,,
2014-06-29 11:30:11,Running,,11.50,55:00,4:47,12.55,957.758333333333,0,,,
2014-06-25 18:08:52,Running,,10.77,51:08,4:45,12.63,858.0,163,,,2014-06-25-1808.gpx
2014-06-10 19:34:59,Running,,10.22,45:08,4:25,13.59,762.0,151,,"Prêt pour dimanche ! ",2014-06-10-1934.gpx
2014-06-08 10:02:00,Running,,6.60,33:42,5:06,11.75,533.0,71,,,2014-06-08-1002.gpx
2014-06-05 15:51:16,Running,,6.18,30:00,4:51,12.36,460.0,0,,,
2014-06-02 17:44:25,Running,,10.42,56:04,5:23,11.15,835.0,109,,,2014-06-02-1744.gpx
2014-06-01 14:18:58,Running,,8.78,50:14,5:43,10.49,696.0,109,,,2014-06-01-1418.gpx
2014-05-30 12:45:37,Running,,14.07,1:17:18,5:30,10.92,1162.0,202,,,2014-05-30-1245.gpx
2014-05-28 18:30:41,Rowing,,10.00,45:46,4:35,13.11,571.256111111111,0,,,
2014-05-26 18:00:47,Running,,10.31,53:31,5:11,11.56,851.0,163,,,2014-05-26-1800.gpx
2014-05-20 20:25:28,Rowing,,6.47,30:06,4:39,12.90,370.067222222222,0,,,
2014-05-19 18:42:47,Running,,8.67,45:46,5:17,11.37,702.0,99,,,2014-05-19-1842.gpx
2014-05-16 17:16:20,Running,,5.84,30:00,5:08,11.68,476.965905245347,0,,,
2014-04-26 15:55:08,Running,,11.30,54:00,4:47,12.56,941.244166666667,0,,,
2014-04-14 18:55:53,Running,,10.55,53:03,5:02,11.93,870.0,171,,,2014-04-14-1855.gpx
2014-04-10 19:11:08,Rowing,,6.75,30:00,4:27,13.50,384.75,0,,,
2014-04-05 16:43:41,Running,,9.80,49:28,5:03,11.89,798.0,158,,,2014-04-05-1643.gpx
2014-04-01 20:22:08,Running,,3.50,20:00,5:43,10.50,286.946756152125,0,,"Profil cardio",
2014-04-01 20:19:02,Running,,0.00,0:00,,,0.0,0,,,
2014-04-01 20:19:02,Running,,0.00,0:00,,,0.0,0,,,
2014-04-01 18:18:59,Rowing,,6.62,30:00,4:32,13.24,377.888888888889,0,,,
2014-03-29 17:25:48,Running,,11.32,1:00:06,5:19,11.30,931.0,181,,,2014-03-29-1725.gpx
2014-03-26 19:43:44,Rowing,,6.44,30:00,4:40,12.88,513.0,0,,,
2014-03-16 17:32:24,Running,,12.30,1:03:43,5:11,11.58,1009.0,195,,,2014-03-16-1732.gpx
2014-03-10 18:23:02,Running,,10.59,54:55,5:11,11.57,857.0,184,,"Point de côté des le début. Très difficile d'avancer. ",2014-03-10-1823.gpx
2014-03-03 19:29:35,Running,,11.22,57:12,5:06,11.77,912.0,188,,"Point de côté dès le départ. Très difficile d'avancer. ",2014-03-03-1929.gpx
2014-02-26 18:30:45,Other,,6.48,30:00,4:38,12.96,515.0,0,,,
2014-02-13 19:15:35,Rowing,,7.19,35:00,4:52,12.33,837.9,0,,,
2014-02-10 18:27:57,Running,,10.02,50:37,5:03,11.88,820.0,170,,,2014-02-10-1827.gpx
2014-02-05 18:30:10,Rowing,,6.41,30:00,4:41,12.82,366.805555555555,0,,,
2014-02-03 18:19:46,Running,,9.93,51:19,5:10,11.61,818.0,173,,,2014-02-03-1819.gpx
2014-01-25 12:08:41,Running,,9.55,48:47,5:07,11.74,784.0,153,,,2014-01-25-1208.gpx
2013-12-16 18:34:29,Running,,9.37,47:51,5:06,11.75,742.0,157,,,2013-12-16-1834.gpx
2013-11-28 18:10:42,Running,,9.29,47:51,5:09,11.65,764.0,150,,,2013-11-28-1810.gpx
2013-10-14 18:21:24,Running,,9.41,48:41,5:10,11.60,776.0,168,,,2013-10-14-1821.gpx
2013-08-22 18:59:59,Running,,10.16,55:53,5:30,10.90,848.0,163,,,2013-08-22-1859.gpx
2012-09-26 18:48:29,Running,,16.70,1:32:00,5:31,10.89,1343.9,0,,,
2012-09-24 18:42:58,Running,,11.78,59:08,5:01,11.95,932.0,133,,,2012-09-24-1842.gpx
2012-09-19 19:00:44,Running,,13.11,1:03:08,4:49,12.46,983.0,134,,,2012-09-19-1900.gpx
2012-09-15 12:08:11,Running,,16.01,1:29:17,5:35,10.76,1269.0,179,,,2012-09-15-1208.gpx
2012-09-12 18:50:49,Running,,11.34,1:00:10,5:18,11.31,906.0,128,,,2012-09-12-1850.gpx
2012-09-08 14:46:46,Running,,10.38,58:45,5:39,10.60,844.0,162,,,2012-09-08-1446.gpx
2012-08-31 11:00:07,Running,,12.80,1:10:40,5:31,10.86,1112.0,185,,,2012-08-31-1100.gpx
2012-08-29 19:11:18,Running,,7.72,39:58,5:11,11.59,649.0,76,,,2012-08-29-1911.gpx
2012-08-27 18:28:54,Running,,8.54,45:14,5:18,11.33,731.0,144,,,2012-08-27-1828.gpx
2012-08-25 19:49:41,Running,,11.37,1:02:02,5:27,11.00,956.0,168,,,2012-08-25-1949.gpx
2012-08-20 18:37:59,Running,,9.52,54:53,5:46,10.41,857.0,156,,,2012-08-20-1837.gpx
2012-08-12 19:30:19,Running,,12.50,1:03:00,5:02,11.90,1014.65466370558,0,,,
2012-08-09 10:35:49,Running,,10.00,54:00,5:24,11.11,801.175,0,,,
2012-08-06 10:20:11,Running,,13.00,1:10:00,5:23,11.14,1040.875,0,,,
2012-08-03 10:40:14,Running,,12.50,1:04:00,5:07,11.72,1008.72842639594,0,,,
2012-08-01 10:30:56,Running,,12.00,1:09:15,5:46,10.40,971.763108221477,0,,,
2012-07-29 19:00:16,Running,,10.00,58:00,5:48,10.34,810.185402684564,0,,,
2012-07-26 19:30:38,Running,,9.20,55:00,5:59,10.04,747.523070469799,0,,,
2012-07-23 19:23:15,Running,,11.10,1:06:00,5:57,10.09,901.432046979866,0,,,
2012-07-15 19:05:00,Running,,8.10,46:00,5:41,10.57,654.96396201729,0,,,
